1D	photolysis rate of ozone to 1D oxygen atom
air	mass fraction of hcc140a in air
air	mass fraction of hcfc141b in air
air	mass fraction of hcfc142b in air
air	mass fraction of hcfc22 in air
air	mass fraction of hexachlorobiphenyl in air
air	mass fraction of hox expressed as hydrogen in air
air	mass fraction of hydrogen bromide in air
air	mass fraction of hydrogen chloride in air
air	mass fraction of hydrogen cyanide in air
air	mass fraction of hydrogen peroxide in air
air	mass fraction of hydroperoxyl radical in air
air	mass fraction of hydroxyl radical in air
air	mass fraction of hypobromous acid in air
air	mass fraction of hypochlorous acid in air
air	mass fraction of inorganic bromine in air
air	mass fraction of inorganic chlorine in air
air	mass fraction of isoprene in air
air	mass fraction of limonene in air
air	mass fraction of mercury dry aerosol in air
air	mass fraction of methane in air
air	mass fraction of methanesulfonic acid dry aerosol particles in air
air	mass fraction of methanol in air
air	mass fraction of methyl bromide in air
air	mass fraction of methyl chloride in air
air	mass fraction of methyl hydroperoxide in air
air	mass fraction of methyl peroxy radical in air
air	mass fraction of molecular hydrogen in air
air	mass fraction of nitrate dry aerosol particles in air
air	mass fraction of nitrate radical in air
air	mass fraction of nitric acid in air
air	mass fraction of nitric acid trihydrate ambient aerosol particles in air
air	mass fraction of nitrogen dioxide in air
air	mass fraction of nitrogen monoxide in air
air	mass fraction of nitrous acid in air
air	mass fraction of nitrous oxide in air
air	mass fraction of nmvoc expressed as carbon in air
air	mass fraction of nox expressed as nitrogen in air
air	mass fraction of noy expressed as nitrogen in air
air	mass fraction of oxygenated hydrocarbons in air
air	mass fraction of ozone in air
air	mass fraction of particulate organic matter dry aerosol particles expressed as carbon in air
air	mass fraction of particulate organic matter dry aerosol particles in air
air	mass fraction of peroxy radicals in air
air	mass fraction of peroxyacetyl nitrate in air
air	mass fraction of peroxynitric acid in air
air	mass fraction of pm1 ambient aerosol particles in air
air	mass fraction of pm1 dry aerosol particles in air
air	mass fraction of pm10 ambient aerosol particles in air
air	mass fraction of pm10 ammonium dry aerosol particles in air
air	mass fraction of pm10 dry aerosol particles in air
air	mass fraction of pm10 dust dry aerosol particles in air
air	mass fraction of pm10 elemental carbon dry aerosol particles in air
air	mass fraction of pm10 nitrate dry aerosol particles in air
air	mass fraction of pm10 particulate organic matter dry aerosol particles expressed as carbon in air
air	mass fraction of pm10 particulate organic matter dry aerosol particles in air
air	mass fraction of pm10 primary particulate organic matter dry aerosol particles in air
air	mass fraction of pm10 sea salt dry aerosol particles expressed as cations in air
air	mass fraction of pm10 sea salt dry aerosol particles in air
air	mass fraction of pm10 sulfate dry aerosol particles in air
air	mass fraction of pm2p5 ambient aerosol particles in air
air	mass fraction of pm2p5 ammonium dry aerosol particles in air
air	mass fraction of pm2p5 dry aerosol particles in air
air	mass fraction of pm2p5 dust dry aerosol particles in air
air	mass fraction of pm2p5 elemental carbon dry aerosol particles in air
air	mass fraction of pm2p5 nitrate dry aerosol particles in air
air	mass fraction of pm2p5 particulate organic matter dry aerosol particles expressed as carbon in air
air	mass fraction of pm2p5 particulate organic matter dry aerosol particles in air
air	mass fraction of pm2p5 primary particulate organic matter dry aerosol particles in air
air	mass fraction of pm2p5 sea salt dry aerosol particles expressed as cations in air
air	mass fraction of pm2p5 sea salt dry aerosol particles in air
air	mass fraction of pm2p5 sulfate dry aerosol particles in air
air	mass fraction of precipitation in air
air	mass fraction of primary particulate organic matter dry aerosol particles in air
air	mass fraction of propane in air
air	mass fraction of propene in air
air	mass fraction of radon in air
air	mass fraction of rain in air
air	mass fraction of sea salt dry aerosol particles expressed as cations in air
air	mass fraction of sea salt dry aerosol particles in air
air	mass fraction of secondary particulate organic matter dry aerosol particles in air
air	mass fraction of snow in air
air	mass fraction of stratiform cloud ice in air
air	mass fraction of stratiform cloud liquid water in air
air	mass fraction of sulfate dry aerosol particles in air
air	mass fraction of sulfur dioxide in air
air	mass fraction of sulfuric acid in air
air	mass fraction of terpenes in air
air	mass fraction of toluene in air
air	mass fraction of water in air
air	mass fraction of water in ambient aerosol particles in air
air	mass fraction of water in pm10 ambient aerosol particles in air
air	mass fraction of water in pm2p5 ambient aerosol particles in air
air	mass fraction of xylene in air
air	minus one times surface upwelling longwave flux in air
air	minus one times surface upwelling shortwave flux in air
air	mole concentration of acetic acid in air
air	mole concentration of aceto nitrile in air
air	mole concentration of alpha hexachlorocyclohexane in air
air	mole concentration of alpha pinene in air
air	mole concentration of ammonia in air
air	mole concentration of anthropogenic nmvoc expressed as carbon in air
air	mole concentration of atomic bromine in air
air	mole concentration of atomic chlorine in air
air	mole concentration of atomic nitrogen in air
air	mole concentration of benzene in air
air	mole concentration of beta pinene in air
air	mole concentration of biogenic nmvoc expressed as carbon in air
air	mole concentration of bromine chloride in air
air	mole concentration of bromine monoxide in air
air	mole concentration of bromine nitrate in air
air	mole concentration of brox expressed as bromine in air
air	mole concentration of butane in air
air	mole concentration of carbon dioxide in air
air	mole concentration of carbon monoxide in air
air	mole concentration of carbon tetrachloride in air
air	mole concentration of cfc11 in air
air	mole concentration of cfc113 in air
air	mole concentration of cfc113a in air
air	mole concentration of cfc114 in air
air	mole concentration of cfc115 in air
air	mole concentration of cfc12 in air
air	mole concentration of chlorine dioxide in air
air	mole concentration of chlorine monoxide in air
air	mole concentration of chlorine nitrate in air
air	mole concentration of clox expressed as chlorine in air
air	mole concentration of dichlorine peroxide in air
air	mole concentration of dimethyl sulfide in air
air	mole concentration of dinitrogen pentoxide in air
air	mole concentration of ethane in air
air	mole concentration of ethanol in air
air	mole concentration of ethene in air
air	mole concentration of ethyne in air
air	mole concentration of formaldehyde in air
air	mole concentration of formic acid in air
air	mole concentration of gaseous divalent mercury in air
air	mole concentration of gaseous elemental mercury in air
air	mole concentration of halon1202 in air
air	mole concentration of halon1211 in air
air	mole concentration of halon1301 in air
air	mole concentration of halon2402 in air
air	mole concentration of hcc140a in air
air	mole concentration of hcfc141b in air
air	mole concentration of hcfc142b in air
air	mole concentration of hcfc22 in air
air	mole concentration of hexachlorobiphenyl in air
air	mole concentration of hox expressed as hydrogen in air
air	mole concentration of hydrogen bromide in air
air	mole concentration of hydrogen chloride in air
air	mole concentration of hydrogen cyanide in air
air	mole concentration of hydrogen peroxide in air
air	mole concentration of hydroperoxyl radical in air
air	mole concentration of hydroxyl radical in air
air	mole concentration of hypobromous acid in air
air	mole concentration of hypochlorous acid in air
air	mole concentration of inorganic bromine in air
air	mole concentration of inorganic chlorine in air
air	mole concentration of isoprene in air
air	mole concentration of limonene in air
air	mole concentration of methane in air
air	mole concentration of methanol in air
air	mole concentration of methyl bromide in air
air	mole concentration of methyl chloride in air
air	mole concentration of methyl hydroperoxide in air
air	mole concentration of methyl peroxy radical in air
air	mole concentration of molecular hydrogen in air
air	mole concentration of nitrate radical in air
air	mole concentration of nitric acid in air
air	mole concentration of nitric acid trihydrate ambient aerosol particles in air
air	mole concentration of nitrogen dioxide in air
air	mole concentration of nitrogen monoxide in air
air	mole concentration of nitrous acid in air
air	mole concentration of nitrous oxide in air
air	mole concentration of nmvoc expressed as carbon in air
air	mole concentration of nox expressed as nitrogen in air
air	mole concentration of noy expressed as nitrogen in air
air	mole concentration of ozone in air
air	mole concentration of peroxyacetyl nitrate in air
air	mole concentration of peroxynitric acid in air
air	mole concentration of propane in air
air	mole concentration of propene in air
air	mole concentration of radon in air
air	mole concentration of sulfur dioxide in air
air	mole concentration of toluene in air
air	mole concentration of water vapor in air
air	mole concentration of xylene in air
air	mole fraction of acetaldehyde in air
air	mole fraction of acetic acid in air
air	mole fraction of aceto nitrile in air
air	mole fraction of acetone in air
air	mole fraction of aldehydes in air
air	mole fraction of alkanes in air
air	mole fraction of alkenes in air
air	mole fraction of alpha hexachlorocyclohexane in air
air	mole fraction of alpha pinene in air
air	mole fraction of ammonia in air
air	mole fraction of anthropogenic nmvoc expressed as carbon in air
air	mole fraction of artificial tracer with fixed lifetime in air
air	mole fraction of atomic bromine in air
air	mole fraction of atomic chlorine in air
air	mole fraction of atomic nitrogen in air
air	mole fraction of benzene in air
air	mole fraction of beta pinene in air
air	mole fraction of biogenic nmvoc expressed as carbon in air
air	mole fraction of bromine chloride in air
air	mole fraction of bromine monoxide in air
air	mole fraction of bromine nitrate in air
air	mole fraction of brox expressed as bromine in air
air	mole fraction of butane in air
air	mole fraction of carbon dioxide in air
air	mole fraction of carbon monoxide in air
air	mole fraction of carbon tetrachloride in air
air	mole fraction of carbon tetrafluoride in air
air	mole fraction of carbonyl fluoride in air
air	mole fraction of carbonyl sulfide in air
air	mole fraction of cfc11 in air
air	mole fraction of cfc113 in air
air	mole fraction of cfc113a in air
air	mole fraction of cfc114 in air
air	mole fraction of cfc115 in air
air	mole fraction of cfc12 in air
air	mole fraction of chlorine dioxide in air
air	mole fraction of chlorine monoxide in air
air	mole fraction of chlorine nitrate in air
air	mole fraction of clox expressed as chlorine in air
air	mole fraction of dichlorine in air
air	mole fraction of dichlorine peroxide in air
air	mole fraction of dimethyl sulfide in air
air	mole fraction of dinitrogen pentoxide in air
air	mole fraction of ethane in air
air	mole fraction of ethanol in air
air	mole fraction of ethene in air
air	mole fraction of ethyne in air
air	mole fraction of formaldehyde in air
air	mole fraction of formic acid in air
air	mole fraction of gaseous divalent mercury in air
air	mole fraction of gaseous elemental mercury in air
air	mole fraction of glyoxal in air
air	mole fraction of halon1202 in air
air	mole fraction of halon1211 in air
air	mole fraction of halon1301 in air
air	mole fraction of halon2402 in air
air	mole fraction of hcc140a in air
air	mole fraction of hcfc141b in air
air	mole fraction of hcfc142b in air
air	mole fraction of hcfc22 in air
air	mole fraction of hexachlorobiphenyl in air
air	mole fraction of hox expressed as hydrogen in air
air	mole fraction of hydrogen bromide in air
air	mole fraction of hydrogen chloride in air
air	mole fraction of hydrogen cyanide in air
air	mole fraction of hydrogen peroxide in air
air	mole fraction of hydrogen sulfide in air
air	mole fraction of hydroperoxyl radical in air
air	mole fraction of hydroxyl radical in air
air	mole fraction of hypobromous acid in air
air	mole fraction of hypochlorous acid in air
air	mole fraction of inorganic bromine in air
air	mole fraction of inorganic chlorine in air
air	mole fraction of isoprene in air
air	mole fraction of limonene in air
air	mole fraction of methane in air
air	mole fraction of methanol in air
air	mole fraction of methlyglyoxal in air
air	mole fraction of methyl bromide in air
air	mole fraction of methyl chloride in air
air	mole fraction of methyl hydroperoxide in air
air	mole fraction of methyl peroxy radical in air
air	mole fraction of molecular hydrogen in air
air	mole fraction of nitrate radical in air
air	mole fraction of nitric acid in air
air	mole fraction of nitric acid trihydrate ambient aerosol particles in air
air	mole fraction of nitrogen dioxide in air
air	mole fraction of nitrogen monoxide in air
air	mole fraction of nitrous acid in air
air	mole fraction of nitrous oxide in air
air	mole fraction of nmvoc expressed as carbon in air
air	mole fraction of nox expressed as nitrogen in air
air	mole fraction of noy expressed as nitrogen in air
air	mole fraction of organic nitrates in air
air	mole fraction of ozone in air
air	mole fraction of peroxyacetyl nitrate in air
air	mole fraction of peroxynitric acid in air
air	mole fraction of propane in air
air	mole fraction of propene in air
air	mole fraction of radon in air
air	mole fraction of sulfur dioxide in air
air	mole fraction of sulfur hexafluoride in air
air	mole fraction of toluene in air
air	mole fraction of water vapor in air
air	mole fraction of xylene in air
air	net downward longwave flux in air
air	net downward longwave flux in air assuming clear sky
air	net downward shortwave flux in air
air	net downward shortwave flux in air assuming clear sky
air	net upward longwave flux in air
air	net upward longwave flux in air assuming clear sky
air	net upward shortwave flux in air
air	net upward shortwave flux in air assuming clear sky
air	northward eliassen palm flux in air
air	northward heat flux in air due to eddy advection
air	northward mass flux of air
air	northward transformed eulerian mean air velocity
air	northward water vapor flux in air
air	number concentration of aerosol particles at stp in air
air	number concentration of ambient aerosol particles in air
air	number concentration of cloud condensation nuclei at stp in air
air	number concentration of cloud liquid water particles in air
air	number concentration of cloud liquid water particles in air at liquid water cloud top
air	number concentration of coarse mode ambient aerosol particles in air
air	number concentration of ice crystals in air
air	number concentration of ice crystals in air at ice cloud top
air	number concentration of nucleation mode ambient aerosol particles in air
air	number concentration of ozone molecules in air
air	number concentration of pm10 aerosol particles in air
air	number concentration of pm2p5 aerosol particles in air
air	number of days with air temperature above threshold
air	number of days with air temperature below threshold
air	original air pressure of lifted parcel
air	platform speed wrt air
air	product of air temperature and omega
air	product of air temperature and specific humidity
air	product of eastward wind and air temperature
air	product of eastward wind and upward air velocity
air	product of northward wind and air temperature
air	product of northward wind and upward air velocity
air	product of omega and air temperature
air	product of upward air velocity and air temperature
air	product of upward air velocity and specific humidity
air	reference air pressure for atmosphere vertical coordinate
air	sea surface height correction due to air pressure and wind at high frequency
air	sea surface height correction due to air pressure at low frequency
air	single scattering albedo in air due to ambient aerosol particles
air	sound intensity in air
air	sound intensity level in air
air	sound pressure in air
air	sound pressure level in air
air	specific dry energy of air
air	specific kinetic energy of air
air	speed of sound in air
air	spell length of days with air temperature above threshold
air	spell length of days with air temperature below threshold
air	square of air temperature
air	square of brunt vaisala frequency in air
air	square of lagrangian tendency of air pressure
air	square of upward air velocity
air	surface air pressure
air	surface carbon dioxide abiotic analogue partial pressure difference between sea water and air
air	surface carbon dioxide natural analogue partial pressure difference between sea water and air
air	surface carbon dioxide partial pressure difference between air and sea water
air	surface carbon dioxide partial pressure difference between sea water and air
air	surface diffuse downwelling photosynthetic radiative flux in air
air	surface diffuse downwelling shortwave flux in air
air	surface diffuse downwelling shortwave flux in air assuming clear sky
air	surface direct downwelling shortwave flux in air
air	surface downward heat flux in air
air	surface downwelling longwave flux in air
air	surface downwelling longwave flux in air assuming clear sky
air	surface downwelling photosynthetic photon flux in air
air	surface downwelling photosynthetic radiative flux in air
air	surface downwelling radiative flux per unit wavelength in air
air	surface downwelling shortwave flux in air
air	surface downwelling shortwave flux in air assuming clear sky
air	surface drag coefficient for heat in air
air	surface drag coefficient for momentum in air
air	surface drag coefficient in air
air	surface molecular oxygen partial pressure difference between sea water and air
air	surface partial pressure of carbon dioxide in air
air	surface ratio of upwelling radiance emerging from sea water to downwelling radiative flux in air
air	surface roughness length for heat in air
air	surface roughness length for momentum in air
air	surface upward heat flux in air
air	surface upward water vapor flux in air
air	surface upwelling longwave flux in air
air	surface upwelling longwave flux in air assuming clear sky
air	surface upwelling photosynthetic photon flux in air
air	surface upwelling radiance in air
air	surface upwelling radiance in air emerging from sea water
air	surface upwelling radiance in air reflected by sea water
air	surface upwelling radiance per unit wavelength in air
air	surface upwelling radiance per unit wavelength in air emerging from sea water
air	surface upwelling radiance per unit wavelength in air reflected by sea water
air	surface upwelling radiative flux per unit wavelength in air
air	surface upwelling shortwave flux in air
air	surface upwelling shortwave flux in air assuming clear sky
air	temperature difference between ambient air and air lifted adiabatically
air	temperature difference between ambient air and air lifted adiabatically from the surface
air	tendency of air density
air	tendency of air pressure
air	tendency of air temperature
air	tendency of air temperature due to advection
air	tendency of air temperature due to convection
air	tendency of air temperature due to diabatic processes
air	tendency of air temperature due to diffusion
air	tendency of air temperature due to dry convection
air	tendency of air temperature due to longwave heating
air	tendency of air temperature due to longwave heating assuming clear sky
air	tendency of air temperature due to model physics
air	tendency of air temperature due to moist convection
air	tendency of air temperature due to radiative heating
air	tendency of air temperature due to shortwave heating
air	tendency of air temperature due to shortwave heating assuming clear sky
air	tendency of air temperature due to stratiform cloud and precipitation and boundary layer mixing
air	tendency of air temperature due to stratiform precipitation
air	tendency of air temperature due to turbulence
air	tendency of mass concentration of elemental carbon dry aerosol particles in air due to emission from aviation
air	tendency of mass concentration of nitrogen dioxide in air due to emission from aviation
air	tendency of mass concentration of nitrogen monoxide in air due to emission from aviation
air	tendency of mass concentration of nox expressed as nitrogen monoxide in air due to emission from aviation
air	tendency of mass fraction of cloud condensed water in air
air	tendency of mass fraction of cloud condensed water in air due to advection
air	tendency of mass fraction of cloud ice in air
air	tendency of mass fraction of cloud ice in air due to advection
air	tendency of mass fraction of cloud ice in air due to diffusion
air	tendency of mass fraction of cloud liquid water in air
air	tendency of mass fraction of cloud liquid water in air due to advection
air	tendency of mass fraction of cloud liquid water in air due to diffusion
air	tendency of mass fraction of stratiform cloud condensed water in air
air	tendency of mass fraction of stratiform cloud condensed water in air due to advection
air	tendency of mass fraction of stratiform cloud condensed water in air due to autoconversion to rain
air	tendency of mass fraction of stratiform cloud condensed water in air due to autoconversion to snow
air	tendency of mass fraction of stratiform cloud condensed water in air due to boundary layer mixing
air	tendency of mass fraction of stratiform cloud condensed water in air due to cloud microphysics
air	tendency of mass fraction of stratiform cloud condensed water in air due to condensation and evaporation
air	tendency of mass fraction of stratiform cloud condensed water in air due to icefall
air	tendency of mass fraction of stratiform cloud ice in air
air	tendency of mass fraction of stratiform cloud ice in air due to accretion to snow
air	tendency of mass fraction of stratiform cloud ice in air due to advection
air	tendency of mass fraction of stratiform cloud ice in air due to aggregation
air	tendency of mass fraction of stratiform cloud ice in air due to bergeron findeisen process from cloud liquid
air	tendency of mass fraction of stratiform cloud ice in air due to boundary layer mixing
air	tendency of mass fraction of stratiform cloud ice in air due to cloud microphysics
air	tendency of mass fraction of stratiform cloud ice in air due to convective detrainment
air	tendency of mass fraction of stratiform cloud ice in air due to deposition and sublimation
air	tendency of mass fraction of stratiform cloud ice in air due to evaporation of melting ice
air	tendency of mass fraction of stratiform cloud ice in air due to heterogeneous nucleation from cloud liquid water
air	tendency of mass fraction of stratiform cloud ice in air due to heterogeneous nucleation from water vapor
air	tendency of mass fraction of stratiform cloud ice in air due to homogeneous nucleation
air	tendency of mass fraction of stratiform cloud ice in air due to icefall
air	tendency of mass fraction of stratiform cloud ice in air due to melting to cloud liquid water
air	tendency of mass fraction of stratiform cloud ice in air due to melting to rain
air	tendency of mass fraction of stratiform cloud ice in air due to riming from cloud liquid water
air	tendency of mass fraction of stratiform cloud ice in air due to riming from rain
air	tendency of mass fraction of stratiform cloud liquid water in air
air	tendency of mass fraction of stratiform cloud liquid water in air due to accretion to rain
air	tendency of mass fraction of stratiform cloud liquid water in air due to accretion to snow
air	tendency of mass fraction of stratiform cloud liquid water in air due to advection
air	tendency of mass fraction of stratiform cloud liquid water in air due to autoconversion
air	tendency of mass fraction of stratiform cloud liquid water in air due to bergeron findeisen process to cloud ice
air	tendency of mass fraction of stratiform cloud liquid water in air due to boundary layer mixing
air	tendency of mass fraction of stratiform cloud liquid water in air due to cloud microphysics
air	tendency of mass fraction of stratiform cloud liquid water in air due to condensation and evaporation
air	tendency of mass fraction of stratiform cloud liquid water in air due to condensation and evaporation from boundary layer mixing
air	tendency of mass fraction of stratiform cloud liquid water in air due to condensation and evaporation from convection
air	tendency of mass fraction of stratiform cloud liquid water in air due to condensation and evaporation from longwave heating
air	tendency of mass fraction of stratiform cloud liquid water in air due to condensation and evaporation from pressure change
air	tendency of mass fraction of stratiform cloud liquid water in air due to condensation and evaporation from shortwave heating
air	tendency of mass fraction of stratiform cloud liquid water in air due to condensation and evaporation from turbulence
air	tendency of mass fraction of stratiform cloud liquid water in air due to convective detrainment
air	tendency of mass fraction of stratiform cloud liquid water in air due to heterogeneous nucleation
air	tendency of mass fraction of stratiform cloud liquid water in air due to homogeneous nucleation
air	tendency of mass fraction of stratiform cloud liquid water in air due to melting from cloud ice
air	tendency of mass fraction of stratiform cloud liquid water in air due to riming
air	tendency of surface air pressure
air	tendency of upward air velocity
air	tendency of upward air velocity due to advection
air	tropopause air pressure
air	tropopause air temperature
air	upward air velocity
air	upward eastward momentum flux in air due to nonorographic eastward gravity waves
air	upward eastward momentum flux in air due to nonorographic westward gravity waves
air	upward eastward momentum flux in air due to orographic gravity waves
air	upward eliassen palm flux in air
air	upward heat flux in air
air	upward latent heat flux in air
air	upward mass flux of air
air	upward sensible heat flux in air
air	upward water vapor flux in air
air	upward water vapor flux in air due to diffusion
air	upwelling longwave flux in air
air	upwelling longwave flux in air assuming clear sky
air	upwelling longwave radiance in air
air	upwelling radiance per unit wavelength in air
air	upwelling radiative flux per unit wavelength in air
air	upwelling shortwave flux in air
air	upwelling shortwave flux in air assuming clear sky
air	upwelling shortwave radiance in air
air	visibility in air
air	volume absorption coefficient in air due to dried aerosol particles
air	volume attenuated backwards scattering function in air
air	volume attenuated backwards scattering function in air assuming no aerosol or cloud
air	volume backwards scattering coefficient in air due to dried aerosol particles
air	volume extinction coefficient in air due to ambient aerosol particles
air	volume extinction coefficient in air due to cloud particles
air	volume scattering coefficient in air due to ambient aerosol particles
air	volume scattering coefficient in air due to dried aerosol particles
air	water vapor partial pressure in air
air	water vapor saturation deficit in air
albedo	cloud albedo
albedo	planetary albedo
albedo	sea ice albedo
albedo	single scattering albedo in air due to ambient aerosol particles
albedo	soil albedo
albedo	surface albedo
albedo	surface albedo assuming deep snow
albedo	surface albedo assuming no snow
alcohols	tendency of atmosphere mass content of alcohols due to emission from agricultural production
alcohols	tendency of atmosphere mass content of alcohols due to emission from agricultural waste burning
alcohols	tendency of atmosphere mass content of alcohols due to emission from energy production and distribution
alcohols	tendency of atmosphere mass content of alcohols due to emission from forest fires
alcohols	tendency of atmosphere mass content of alcohols due to emission from industrial processes and combustion
alcohols	tendency of atmosphere mass content of alcohols due to emission from residential and commercial combustion
alcohols	tendency of atmosphere mass content of alcohols due to emission from savanna and grassland fires
alcohols	tendency of atmosphere mass content of alcohols due to emission from solvent production and use
alcohols	tendency of atmosphere mass content of alcohols due to emission from waste treatment and disposal
aldehydes	mole fraction of aldehydes in air
aldehydes	tendency of atmosphere mass content of aldehydes due to dry deposition
aldehydes	tendency of atmosphere mass content of aldehydes due to wet deposition
alkalinity	integral wrt depth of tendency of sea water alkalinity expressed as mole equivalent
alkalinity	integral wrt depth of tendency of sea water alkalinity expressed as mole equivalent due to biological processes
alkalinity	sea water alkalinity expressed as mole equivalent
alkalinity	sea water alkalinity natural analogue expressed as mole equivalent
alkalinity	tendency of sea water alkalinity expressed as mole equivalent due to biological processes
alkanes	atmosphere mass content of alkanes
alkanes	mass concentration of alkanes in air
alkanes	mass fraction of alkanes in air
alkanes	mole fraction of alkanes in air
alkanes	tendency of atmosphere mass content of alkanes due to emission
alkenes	atmosphere mass content of alkenes
alkenes	mass concentration of alkenes in air
alkenes	mass fraction of alkenes in air
alkenes	mole fraction of alkenes in air
alkenes	tendency of atmosphere mass content of alkenes due to emission
all	surface net downward mass flux of carbon dioxide expressed as carbon due to all land processes
all	surface net downward mass flux of carbon dioxide expressed as carbon due to all land processes excluding anthropogenic land use change
alpha	atmosphere mass content of alpha hexachlorocyclohexane
alpha	atmosphere mass content of alpha pinene
alpha	atmosphere moles of alpha hexachlorocyclohexane
alpha	atmosphere moles of alpha pinene
alpha	mass concentration of alpha hexachlorocyclohexane in air
alpha	mass concentration of alpha pinene in air
alpha	mass fraction of alpha hexachlorocyclohexane in air
alpha	mass fraction of alpha pinene in air
alpha	mole concentration of alpha hexachlorocyclohexane in air
alpha	mole concentration of alpha pinene in air
alpha	mole fraction of alpha hexachlorocyclohexane in air
alpha	mole fraction of alpha pinene in air
alpha	tendency of atmosphere mass content of alpha hexachlorocyclohexane due to dry deposition
alpha	tendency of atmosphere mass content of alpha hexachlorocyclohexane due to emission
alpha	tendency of atmosphere mass content of alpha hexachlorocyclohexane due to re emission
alpha	tendency of atmosphere mass content of alpha hexachlorocyclohexane due to wet deposition
alpha	tendency of atmosphere mass content of alpha pinene due to emission
alpha	tendency of atmosphere moles of alpha hexachlorocyclohexane
alpha	tendency of atmosphere moles of alpha pinene
altimeter	altimeter range
altimeter	altimeter range correction due to dry troposphere
altimeter	altimeter range correction due to ionosphere
altimeter	altimeter range correction due to wet troposphere
altitude	altitude
altitude	altitude at top of atmosphere model
altitude	altitude at top of dry convection
altitude	barometric altitude
altitude	bedrock altitude
altitude	bedrock altitude change due to isostatic adjustment
altitude	cloud base altitude
altitude	cloud top altitude
altitude	convective cloud base altitude
altitude	convective cloud top altitude
altitude	equilibrium line altitude
altitude	freezing level altitude
altitude	ground level altitude
altitude	surface altitude
altitude	tendency of bedrock altitude
altitude	tropopause altitude
altitude	water surface reference datum altitude
ambient	ambient aerosol particle diameter
ambient	angstrom exponent of ambient aerosol in air
ambient	atmosphere absorption optical thickness due to ambient aerosol particles
ambient	atmosphere absorption optical thickness due to black carbon ambient aerosol
ambient	atmosphere absorption optical thickness due to dust ambient aerosol particles
ambient	atmosphere absorption optical thickness due to particulate organic matter ambient aerosol particles
ambient	atmosphere absorption optical thickness due to sea salt ambient aerosol particles
ambient	atmosphere absorption optical thickness due to sulfate ambient aerosol particles
ambient	atmosphere mass content of nitric acid trihydrate ambient aerosol particles
ambient	atmosphere mass content of sulfate ambient aerosol particles
ambient	atmosphere mass content of water in ambient aerosol particles
ambient	atmosphere moles of nitric acid trihydrate ambient aerosol particles
ambient	atmosphere optical thickness due to ambient aerosol particles
ambient	atmosphere optical thickness due to ammonium ambient aerosol particles
ambient	atmosphere optical thickness due to black carbon ambient aerosol
ambient	atmosphere optical thickness due to dust ambient aerosol particles
ambient	atmosphere optical thickness due to nitrate ambient aerosol particles
ambient	atmosphere optical thickness due to particulate organic matter ambient aerosol particles
ambient	atmosphere optical thickness due to pm1 ambient aerosol particles
ambient	atmosphere optical thickness due to pm10 ambient aerosol particles
ambient	atmosphere optical thickness due to pm2p5 ambient aerosol particles
ambient	atmosphere optical thickness due to sea salt ambient aerosol particles
ambient	atmosphere optical thickness due to sulfate ambient aerosol particles
ambient	atmosphere optical thickness due to water in ambient aerosol particles
ambient	mass concentration of coarse mode ambient aerosol particles in air
ambient	mass concentration of nitric acid trihydrate ambient aerosol particles in air
ambient	mass concentration of pm1 ambient aerosol particles in air
ambient	mass concentration of pm10 ambient aerosol particles in air
ambient	mass concentration of pm2p5 ambient aerosol particles in air
ambient	mass concentration of sulfate ambient aerosol particles in air
ambient	mass concentration of water in ambient aerosol particles in air
ambient	mass fraction of nitric acid trihydrate ambient aerosol particles in air
ambient	mass fraction of pm1 ambient aerosol particles in air
ambient	mass fraction of pm10 ambient aerosol particles in air
ambient	mass fraction of pm2p5 ambient aerosol particles in air
ambient	mass fraction of water in ambient aerosol particles in air
ambient	mass fraction of water in pm10 ambient aerosol particles in air
ambient	mass fraction of water in pm2p5 ambient aerosol particles in air
ambient	mole concentration of nitric acid trihydrate ambient aerosol particles in air
ambient	mole fraction of nitric acid trihydrate ambient aerosol particles in air
ambient	number concentration of ambient aerosol particles in air
ambient	number concentration of coarse mode ambient aerosol particles in air
ambient	number concentration of nucleation mode ambient aerosol particles in air
ambient	optical thickness of atmosphere layer due to ambient aerosol particles
ambient	single scattering albedo in air due to ambient aerosol particles
ambient	temperature difference between ambient air and air lifted adiabatically
ambient	temperature difference between ambient air and air lifted adiabatically from the surface
ambient	tendency of atmosphere moles of nitric acid trihydrate ambient aerosol particles
ambient	volume extinction coefficient in air due to ambient aerosol particles
ambient	volume scattering coefficient in air due to ambient aerosol particles
ammonia	atmosphere mass content of ammonia
ammonia	atmosphere moles of ammonia
ammonia	mass concentration of ammonia in air
ammonia	mass fraction of ammonia in air
ammonia	mole concentration of ammonia in air
ammonia	mole fraction of ammonia in air
ammonia	surface downward mass flux of ammonia
ammonia	surface net downward mass flux of ammonia due to bidirectional surface exchange
ammonia	surface upward mass flux of ammonia
ammonia	tendency of atmosphere mass content of ammonia due to dry deposition
ammonia	tendency of atmosphere mass content of ammonia due to emission
ammonia	tendency of atmosphere mass content of ammonia due to emission from agricultural production
ammonia	tendency of atmosphere mass content of ammonia due to emission from agricultural waste burning
ammonia	tendency of atmosphere mass content of ammonia due to emission from energy production and distribution
ammonia	tendency of atmosphere mass content of ammonia due to emission from forest fires
ammonia	tendency of atmosphere mass content of ammonia due to emission from industrial processes and combustion
ammonia	tendency of atmosphere mass content of ammonia due to emission from land transport
ammonia	tendency of atmosphere mass content of ammonia due to emission from residential and commercial combustion
